,buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space(1000 sqm),Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),living rooms(Number),Estimated cost of construction(Thousand EUR),buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space()1000 sqm,Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),"living rooms(	Number)",Estimated cost of construction(Thousand EUR),buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space(1000 sqm),Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),"living rooms(	Number)",Estimated cost of construction(Thousand EUR)
2007,297,-,-,-,49,1276,39,6000,183,10423,368457,-,182,1064,-,64,1322,44,4872,146,9234,294619,-,-,-,115,-15,-46,-5,1128,37,1189,73838
2008,246,-,-,-,25,1667,56,4557,149,8394,339472,-,131,1024,-,52,1491,56,3475,112,7104,251658,-,-,-,115,-27,176,0,1082,37,1290,87814
2009,279,-,-,-,43,2309,85,4712,152,9334,363531,-,154,1191,-,64,2230,82,3891,122,8252,309842,-,-,-,125,-21,79,3,821,30,1082,53689
2010,249,-,-,-,49,3212,97,3582,104,8065,370435,-,143,1024,-,64,3006,90,2835,83,7097,290805,-,-,-,106,-15,206,7,747,20,968,79630
2011,249,-,-,-,36,3738,105,3614,117,8943,413699,-,139,1107,-,49,3460,105,3075,97,7912,357786,-,-,-,110,-12,278,1,539,20,1031,55913
2012,370,-,-,-,31,10262,336,-,-,13649,562410,-,210,1494,-,66,8736,286,-,-,11864,457932,-,-,-,160,-36,1526,51,-,-,1785,104478
2013,365,-,-,-,38,9767,303,-,-,12547,516068,-,203,1453,-,79,8082,253,-,-,10397,438006,-,-,-,162,-41,1685,50,-,-,2150,78062
2014,455,-,-,-,27,13913,434,-,-,18438,726182,-,255,1909,-,94,10599,346,-,-,14432,605801,-,-,-,200,-67,3314,87,-,-,4006,120381
2015,817,-,-,-,-144,18499,669,-,-,26168,934457,-,375,2198,-,108,12590,395,-,-,16865,740834,-,-,-,442,-252,5909,274,-,-,9303,193623
2016,1650,-,-,-,-244,38076,1353,-,-,57597,1866060,-,855,4476,-,217,25504,863,-,-,38455,1512353,-,-,-,795,-461,12572,490,-,-,19142,353707
