,buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space(1000 sqm),Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),living rooms(Number),Estimated cost of construction(Thousand EUR),buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space()1000 sqm,Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),"living rooms(	Number)",Estimated cost of construction(Thousand EUR),buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space(1000 sqm),Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),"living rooms(	Number)",Estimated cost of construction(Thousand EUR)
Organis.ohne Erwerbszweck als Bauherren v.Wohngeb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,693,-,-,-,44,2450,161,1613,68,9458,419977,-,401,1164,-,54,2154,138,1608,57,8436,303269,-,-,-,292,-10,296,23,5,11,1022,116709
2002,583,-,-,-,36,1977,135,2744,82,9009,378479,-,300,1035,-,55,1668,109,2185,65,7642,271644,-,-,-,283,-18,309,26,559,17,1367,106835
2003,583,-,-,-,24,2142,148,2191,65,9394,330722,-,323,1001,-,49,1614,111,2043,59,7715,255999,-,-,-,260,-25,528,36,148,6,1679,74723
2004,556,-,-,-,33,2117,127,1774,61,8209,292033,-,296,920,-,45,1837,104,1582,53,7039,231681,-,-,-,260,-12,280,23,192,8,1170,60352
2005,434,-,-,-,29,1130,84,2962,94,7416,285354,-,219,817,-,44,855,65,2580,82,6183,217515,-,-,-,215,-14,275,19,382,12,1233,67839
2006,474,-,-,-,31,1961,123,2493,76,8741,318448,-,214,893,-,47,1588,97,2036,63,7148,225741,-,-,-,260,-16,373,26,457,13,1593,92707
2007,408,-,-,-,39,2319,139,1979,66,9292,345895,-,188,988,-,55,1822,116,1626,57,7733,258830,-,-,-,220,-15,497,23,353,10,1559,87065
2008,550,-,-,-,12,2361,141,976,31,7715,282570,-,264,692,-,32,1544,103,826,24,5946,179873,-,-,-,286,-21,817,38,150,7,1769,102697
2009,579,-,-,-,33,2710,177,1057,41,8890,360022,-,253,975,-,55,2038,134,1003,37,7160,263366,-,-,-,326,-22,672,43,54,3,1730,96656
2010,563,-,-,-,30,2079,144,1263,39,7499,365928,-,248,861,-,42,1726,122,1021,33,6395,243422,-,-,-,315,-13,353,21,242,7,1104,122506
2011,548,-,-,-,34,2559,175,848,32,8239,390601,-,267,994,-,51,2122,142,784,28,6811,297352,-,-,-,281,-16,437,33,64,4,1428,93249
2012,583,-,-,-,31,2935,191,-,-,7465,385334,-,278,919,-,45,2560,160,-,-,6556,286065,-,-,-,305,-14,375,31,-,-,909,99269
2013,642,-,-,-,46,3898,245,-,-,9156,487643,-,313,1209,-,70,3319,206,-,-,7697,380063,-,-,-,329,-23,579,39,-,-,1459,107580
2014,689,-,-,-,32,4882,281,-,-,11072,557717,-,340,1316,-,68,3865,229,-,-,9001,440286,-,-,-,349,-36,1017,52,-,-,2071,117431
2015,752,-,-,-,24,5077,322,-,-,12397,599624,-,372,1461,-,70,4098,259,-,-,10238,491578,-,-,-,380,-46,979,62,-,-,2159,108046
2016,855,-,-,-,38,5447,343,-,-,13473,716752,-,416,1614,-,86,4509,278,-,-,10892,565424,-,-,-,439,-48,938,65,-,-,2581,151328
2017,863,-,-,-,63,5838,338,-,-,12965,727808,-,415,1623,-,89,5009,281,-,-,10932,570262,-,-,-,448,-26,829,57,-,-,2033,157546
2018,821,-,-,-,59,6051,336,-,-,12643,808406,-,433,1735,-,102,5182,287,-,-,10719,636878,-,-,-,388,-43,869,49,-,-,1924,171528
2019,833,-,-,-,76,6206,371,-,-,14471,929225,-,436,1932,-,97,5488,336,-,-,12969,775603,-,-,-,397,-21,718,34,-,-,1502,153622
2020,664,-,-,-,70,5048,294,-,-,10885,747434,-,322,1495,-,83,4508,260,-,-,9666,615013,-,-,-,342,-14,540,34,-,-,1219,132421
2021,645,-,-,-,55,4433,289,-,-,10920,768637,-,325,1376,-,70,3786,246,-,-,9240,615755,-,-,-,320,-15,647,43,-,-,1680,152882
Nichtwohngebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,54926,-,-,-,40450,5658,534,328,10,21425,32670250,-,35368,226283,-,35562,5473,490,447,12,21127,25890863,-,-,-,19558,4888,185,44,-119,-2,298,6779387
2002,48081,-,-,-,33843,5404,468,667,24,19193,29137896,-,30934,191137,-,29906,5189,434,823,24,19123,23385799,-,-,-,17147,3937,215,34,-156,0,70,5752097
2003,43938,-,-,-,30611,4917,468,659,15,18912,26051776,-,28400,175557,-,27196,4259,387,772,18,16580,20508413,-,-,-,15538,3415,658,81,-113,-3,2332,5543363
2004,44194,-,-,-,28836,4360,440,768,16,18105,23445831,-,28138,165431,-,25252,4054,367,760,15,16374,18428008,-,-,-,16056,3583,306,73,8,1,1731,5017823
2005,43227,-,-,-,28739,4091,389,845,17,16128,22677904,-,27038,164374,-,24712,3600,319,839,16,14073,17573425,-,-,-,16189,4026,491,71,6,2,2055,5104479
2006,46672,-,-,-,31990,4840,452,908,24,18075,24996216,-,29440,191001,-,27973,4143,365,814,21,15702,19286733,-,-,-,17232,4017,697,87,94,3,2373,5709483
2007,46869,-,-,-,34782,3907,361,454,8,13519,27981876,-,29376,212610,-,30517,3872,330,597,13,13965,22038454,-,-,-,17493,4266,35,31,-143,-5,-446,5943422
2008,50393,-,-,-,40043,3235,311,-62,3,10863,32250273,-,31418,249234,-,34880,3360,309,563,15,12688,25576269,-,-,-,18975,5163,-125,2,-625,-12,-1825,6674004
2009,48486,-,-,-,32548,3170,276,257,7,10020,31267716,-,29517,193389,-,28854,3293,282,425,10,11553,23502276,-,-,-,18969,3694,-123,-6,-168,-3,-1533,7765440
2010,50364,-,-,-,31924,3191,275,97,7,9325,28420022,-,31059,192049,-,28096,3148,275,422,10,11222,21009652,-,-,-,19305,3828,43,0,-325,-4,-1897,7410370
2011,51736,-,-,-,34627,4888,405,487,14,14346,31044995,-,32099,214073,-,30360,4663,366,453,12,14583,23664889,-,-,-,19637,4267,225,40,34,1,-237,7380106
2012,49831,-,-,-,34096,4307,387,-,-,13018,31697186,-,30364,212066,-,30126,3958,339,-,-,12833,24429922,-,-,-,19467,3970,349,47,-,-,185,7267264
2013,48031,-,-,-,32757,6403,449,-,-,15789,33270397,-,28611,201503,-,28824,4875,368,-,-,13784,25533157,-,-,-,19420,3934,1528,82,-,-,2005,7737240
2014,45429,-,-,-,30003,6667,485,-,-,16857,31936513,-,26765,186761,-,26343,5151,392,-,-,14347,24052850,-,-,-,18664,3659,1516,93,-,-,2510,7883663
2015,45114,-,-,-,31153,5811,457,-,-,14974,33248318,-,26533,194036,-,27498,3951,324,-,-,11809,25489570,-,-,-,18581,3655,1860,133,-,-,3165,7758748
2016,48956,-,-,-,33749,10053,661,-,-,22789,39162176,-,29101,216493,-,30097,6492,464,-,-,16689,30720038,-,-,-,19855,3651,3561,198,-,-,6100,8442138
2017,46164,-,-,-,33768,8071,543,-,-,19058,40654109,-,26952,217472,-,30241,5310,387,-,-,14214,31590657,-,-,-,19212,3527,2761,155,-,-,4844,9063452
2018,45926,-,-,-,35291,7187,515,-,-,17290,44797913,-,27147,225557,-,31908,5953,426,-,-,15396,35690000,-,-,-,18779,3383,1234,89,-,-,1894,9107913
2019,46041,-,-,-,35371,8502,578,-,-,20046,49101062,-,27036,223072,-,31926,6685,477,-,-,16983,38959271,-,-,-,19005,3445,1817,101,-,-,3063,10141791
2020,45078,-,-,-,35324,8001,599,-,-,20948,50129517,-,27061,234506,-,32282,6901,494,-,-,18312,40208182,-,-,-,18017,3042,1100,105,-,-,2636,9921335
2021,47633,-,-,-,36045,10260,724,-,-,24886,51958178,-,28971,235346,-,32533,7943,546,-,-,19759,42122298,-,-,-,18662,3512,2317,178,-,-,5127,9835880
Anstaltsgebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1316,-,-,-,1431,884,35,405,12,1966,2759852,-,599,6015,-,1156,825,37,420,11,2130,1843061,-,-,-,717,275,59,-2,-15,1,-164,916791
2002,1224,-,-,-,1710,1010,40,850,26,2792,3188353,-,618,7842,-,1501,1068,45,723,21,2857,2411074,-,-,-,606,209,-58,-5,127,5,-65,777279
2003,1133,-,-,-,1615,416,21,724,17,1747,3014304,-,569,7356,-,1395,585,32,758,18,2200,2291353,-,-,-,564,220,-169,-10,-34,-1,-453,722951
2004,1145,-,-,-,1562,440,24,807,16,1825,2662288,-,617,6779,-,1353,533,29,599,12,1920,1996655,-,-,-,528,209,-93,-5,208,4,-95,665633
2005,1131,-,-,-,1491,498,24,861,16,1987,2802309,-,536,7057,-,1300,588,32,789,14,2232,2124769,-,-,-,595,191,-90,-8,72,2,-245,677540
2006,1151,-,-,-,1495,706,20,824,22,1797,2391306,-,551,6352,-,1295,833,35,649,17,2248,1665224,-,-,-,600,201,-127,-15,175,5,-451,726082
2007,1072,-,-,-,1516,553,34,593,13,2198,2467859,-,484,6696,-,1347,747,42,559,12,2555,1890973,-,-,-,588,168,-194,-9,34,1,-357,576886
2008,1074,-,-,-,1684,329,22,495,13,1524,3000532,-,489,7238,-,1438,546,32,510,13,1932,2212078,-,-,-,585,246,-217,-9,-15,0,-408,788454
2009,1156,-,-,-,1621,905,47,252,6,2307,3524202,-,500,7581,-,1402,965,52,348,9,2494,2503736,-,-,-,656,219,-60,-5,-96,-2,-187,1020466
2010,1145,-,-,-,1355,601,29,282,7,1472,2614988,-,483,5824,-,1185,559,26,298,7,1404,1833190,-,-,-,662,170,42,3,-16,0,68,781798
2011,1088,-,-,-,1292,1177,41,382,9,2044,2568112,-,492,5096,-,1036,1147,44,364,9,2206,1617579,-,-,-,596,256,30,-3,18,1,-162,950533
2012,937,-,-,-,1108,880,39,-,-,1731,2261252,-,388,4766,-,951,840,37,-,-,1693,1537817,-,-,-,549,158,40,2,-,-,38,723435
2013,1023,-,-,-,1339,1913,67,-,-,2787,3222387,-,454,6544,-,1189,1594,61,-,-,2617,2468800,-,-,-,569,149,319,6,-,-,170,753587
2014,1047,-,-,-,1006,1176,40,-,-,1794,2400132,-,482,4616,-,858,1065,45,-,-,1911,1717713,-,-,-,565,147,111,-5,-,-,-117,682419
2015,1125,-,-,-,1075,786,33,-,-,1253,2565954,-,560,4738,-,911,756,32,-,-,1334,1867370,-,-,-,565,164,30,0,-,-,-81,698584
2016,2071,-,-,-,1639,1663,63,-,-,2538,3988186,-,1469,7958,-,1446,1553,59,-,-,2353,3188641,-,-,-,602,193,110,5,-,-,185,799545
2017,1148,-,-,-,1159,1166,52,-,-,1746,3027637,-,577,5587,-,1049,1039,42,-,-,1511,2265709,-,-,-,571,110,127,10,-,-,235,761928
2018,1253,-,-,-,1286,1677,64,-,-,2615,3146741,-,677,5672,-,1154,1499,59,-,-,2462,2293148,-,-,-,576,132,178,5,-,-,153,853593
2019,1209,-,-,-,1475,2494,100,-,-,3863,4662407,-,629,7633,-,1335,2118,93,-,-,3459,3740326,-,-,-,580,139,376,8,-,-,404,922081
2020,935,-,-,-,1104,1729,84,-,-,3037,2914200,-,465,5117,-,997,1552,76,-,-,2876,2272211,-,-,-,470,107,177,9,-,-,161,641989
2021,1032,-,-,-,1476,2414,99,-,-,3661,4533575,-,572,7789,-,1338,2188,95,-,-,3557,3779489,-,-,-,460,138,226,4,-,-,104,754086
Büro- und Verwaltungsgebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,6411,-,-,-,6498,613,79,-139,-4,2581,8263945,-,3338,31135,-,5869,1411,129,5,0,5449,6864418,-,-,-,3073,629,-798,-50,-144,-4,-2868,1399527
2002,5078,-,-,-,5248,828,81,-187,-5,2446,7193888,-,2589,26318,-,4791,1211,111,64,1,4571,6115104,-,-,-,2489,458,-383,-30,-251,-6,-2125,1078784
2003,4204,-,-,-,3670,979,80,-109,-3,2784,4845521,-,2041,17505,-,3271,969,88,-,-,3460,3798601,-,-,-,2163,399,10,-7,-109,-3,-676,1046920
2004,4259,-,-,-,3194,512,60,-60,-2,1948,4373926,-,1956,15693,-,2835,828,77,2,0,3158,3500906,-,-,-,2303,359,-316,-16,-62,-2,-1210,873020
2005,3986,-,-,-,2791,687,62,-6,0,2355,3716668,-,1793,13910,-,2496,812,77,-,-,3126,2972857,-,-,-,2193,295,-125,-15,-6,0,-771,743811
2006,4178,-,-,-,2626,539,68,-8,0,2141,3634319,-,1953,12986,-,2350,582,64,14,0,2424,2787063,-,-,-,2225,276,-43,5,-22,-1,-283,847256
2007,4265,-,-,-,3330,263,39,-211,-7,624,4915673,-,1954,17057,-,2932,553,55,1,0,2112,3957728,-,-,-,2311,399,-290,-16,-212,-7,-1488,957945
2008,4554,-,-,-,3651,385,37,-182,-4,853,5248246,-,2041,19190,-,3276,626,60,7,0,2262,4165635,-,-,-,2513,375,-241,-22,-189,-4,-1409,1082611
2009,4176,-,-,-,3363,258,30,2,-1,778,5473192,-,1838,16381,-,3028,494,50,55,1,1988,4340451,-,-,-,2338,336,-236,-20,-53,-1,-1210,1132741
2010,3911,-,-,-,2194,488,42,-229,-2,1097,4088357,-,1652,10794,-,1923,498,48,8,1,1840,3031118,-,-,-,2259,272,-10,-6,-237,-3,-743,1057239
2011,4462,-,-,-,2862,627,60,48,2,1551,4932242,-,1998,13396,-,2430,761,69,3,1,2481,3680174,-,-,-,2464,432,-134,-10,45,1,-930,1252068
2012,4551,-,-,-,2969,728,67,-,-,1911,5363749,-,1914,14281,-,2605,768,77,-,-,2683,4070502,-,-,-,2637,364,-40,-10,-,-,-772,1293247
2013,4366,-,-,-,3184,1217,79,-,-,2539,6050392,-,1919,15687,-,2886,676,63,-,-,2279,4788474,-,-,-,2447,297,541,16,-,-,260,1261918
2014,4337,-,-,-,2866,1161,96,-,-,3031,5719037,-,1817,14285,-,2576,892,78,-,-,2708,4376309,-,-,-,2520,290,269,18,-,-,323,1342728
2015,4332,-,-,-,2943,1310,90,-,-,2723,5685878,-,1870,14728,-,2622,831,69,-,-,2400,4446079,-,-,-,2462,321,479,21,-,-,323,1239799
2016,4979,-,-,-,3516,1858,112,-,-,3639,6983233,-,2137,17671,-,3183,875,76,-,-,2682,5466322,-,-,-,2842,332,983,36,-,-,957,1516911
2017,4819,-,-,-,3712,1997,105,-,-,3744,7742770,-,2035,18562,-,3325,1055,81,-,-,2965,6126744,-,-,-,2784,387,942,23,-,-,779,1616026
2018,4706,-,-,-,4265,1037,77,-,-,2245,9346485,-,2057,23204,-,3863,1119,81,-,-,2855,7553607,-,-,-,2649,402,-82,-4,-,-,-610,1792878
2019,4946,-,-,-,4674,1805,106,-,-,3553,10884536,-,2130,24246,-,4309,1526,108,-,-,3865,8865797,-,-,-,2816,365,279,-2,-,-,-312,2018739
2020,4631,-,-,-,4574,1273,93,-,-,3244,10852851,-,2063,23090,-,4199,1460,118,-,-,4455,8965013,-,-,-,2568,375,-187,-24,-,-,-1211,1887838
2021,4755,-,-,-,5145,1281,102,-,-,3050,12322074,-,2159,27335,-,4793,1315,104,-,-,3635,10413796,-,-,-,2596,352,-34,-2,-,-,-585,1908278
Landwirtschaftliche Betriebsgebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,11303,-,-,-,5340,625,71,18,1,2883,1653982,-,9102,29545,-,5013,210,24,1,0,991,1456457,-,-,-,2201,327,415,47,17,1,1892,197525
2002,11211,-,-,-,5227,545,60,63,2,2490,1640318,-,9046,29112,-,4885,199,22,13,0,922,1439503,-,-,-,2165,342,346,38,50,1,1568,200815
2003,10510,-,-,-,5128,612,74,-19,0,2875,1591811,-,8466,28632,-,4796,175,23,3,0,907,1380013,-,-,-,2044,332,437,52,-22,-1,1968,211798
2004,9594,-,-,-,4307,664,74,60,1,3054,1304142,-,7570,24443,-,4014,234,25,25,1,1059,1110327,-,-,-,2024,293,430,50,35,1,1995,193815
2005,9071,-,-,-,4181,588,66,-,0,2738,1222787,-,7190,23224,-,3881,155,19,5,0,766,1029248,-,-,-,1881,300,433,47,-5,0,1972,193539
2006,10206,-,-,-,4936,618,70,37,1,2899,1454187,-,8186,27815,-,4609,185,21,26,1,930,1251502,-,-,-,2020,327,433,49,11,0,1969,202685
2007,9634,-,-,-,4812,425,51,11,0,1930,1418254,-,7675,26993,-,4471,168,20,-,-,742,1225252,-,-,-,1959,341,257,31,11,0,1188,193002
2008,11214,-,-,-,6239,388,45,15,1,1822,1852385,-,8925,36170,-,5765,101,12,11,0,486,1616886,-,-,-,2289,474,287,33,4,0,1336,235499
2009,10983,-,-,-,6484,423,49,5,0,1890,1892034,-,8874,38792,-,6082,113,13,6,0,531,1670459,-,-,-,2109,401,310,36,-1,0,1359,221575
2010,11746,-,-,-,7200,363,43,12,0,1632,2040084,-,9557,43138,-,6707,142,17,-,-,642,1814637,-,-,-,2189,493,221,26,12,0,990,225447
2011,10862,-,-,-,6522,494,54,17,0,2131,2021424,-,8739,39826,-,6052,166,17,12,0,727,1768600,-,-,-,2123,470,328,37,5,0,1404,252824
2012,10607,-,-,-,6528,484,53,-,-,1935,2072372,-,8337,39295,-,6002,113,13,-,-,524,1803463,-,-,-,2270,526,371,39,-,-,1411,268909
2013,9506,-,-,-,6104,505,56,-,-,2056,2042339,-,7248,37087,-,5623,146,16,-,-,592,1764426,-,-,-,2258,481,359,40,-,-,1464,277913
2014,8439,-,-,-,4649,499,50,-,-,1848,1671626,-,6377,28615,-,4253,170,14,-,-,562,1421365,-,-,-,2062,396,329,36,-,-,1286,250261
2015,7850,-,-,-,4429,436,50,-,-,1751,1657080,-,5784,26970,-,4056,100,12,-,-,439,1379418,-,-,-,2066,373,336,38,-,-,1312,277662
2016,7235,-,-,-,3965,500,58,-,-,2172,1516001,-,5343,24263,-,3669,146,16,-,-,592,1272282,-,-,-,1892,295,354,42,-,-,1580,243719
2017,6750,-,-,-,4055,580,61,-,-,2335,1464075,-,4927,24638,-,3739,167,16,-,-,597,1235496,-,-,-,1823,316,413,45,-,-,1738,228579
2018,7013,-,-,-,4164,548,62,-,-,2244,1518125,-,5134,25834,-,3871,131,13,-,-,522,1266244,-,-,-,1879,293,417,48,-,-,1722,251881
2019,6961,-,-,-,3737,619,75,-,-,2639,1550583,-,5077,22683,-,3428,148,19,-,-,692,1271823,-,-,-,1884,309,471,56,-,-,1947,278760
2020,7560,-,-,-,3925,682,78,-,-,2921,1706592,-,5491,23848,-,3566,209,23,-,-,927,1401927,-,-,-,2069,359,473,55,-,-,1994,304665
2021,8186,-,-,-,4363,788,85,-,-,3053,1868215,-,5925,26745,-,3979,223,21,-,-,743,1506581,-,-,-,2261,384,565,64,-,-,2310,361634
Nichtlandwirtschaftliche Betriebsgebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,29091,-,-,-,24037,3254,335,74,2,13461,15126899,-,18995,144489,-,21018,2596,260,19,1,10849,12505435,-,-,-,10096,3019,658,75,55,1,2612,2621464
2002,24234,-,-,-,18920,2892,282,-109,-2,11216,12527419,-,15672,113838,-,16443,2344,226,2,0,9308,10302172,-,-,-,8562,2477,548,57,-111,-2,1908,2225247
2003,22502,-,-,-,17497,2825,287,4,0,11384,12210028,-,14569,108110,-,15479,2227,218,5,0,8896,9940845,-,-,-,7933,2018,598,70,-1,0,2488,2269183
2004,23447,-,-,-,17300,2570,271,-134,-2,10733,11141673,-,15190,106828,-,15016,2067,205,23,1,8659,9104020,-,-,-,8257,2285,503,66,-157,-2,2074,2037653
2005,23601,-,-,-,17643,2431,244,7,1,9495,10672970,-,14962,107065,-,14902,1790,168,6,0,6971,8575633,-,-,-,8639,2740,641,76,1,0,2524,2097337
2006,25499,-,-,-,20377,2962,292,-47,-1,11233,13305381,-,16206,130943,-,17635,2245,216,-,-,8736,10850492,-,-,-,9293,2742,717,76,-47,-1,2497,2454889
2007,26307,-,-,-,22531,2675,245,11,0,9316,14817424,-,16730,148943,-,19617,2149,189,3,0,7525,12005854,-,-,-,9577,2913,526,55,8,0,1791,2811570
2008,27392,-,-,-,25638,2237,222,-385,-7,7659,17145177,-,17244,172530,-,22074,1765,177,3,0,6868,14100996,-,-,-,10148,3565,472,45,-388,-7,791,3044181
2009,24063,-,-,-,17460,1892,184,-,-2,6576,12667497,-,15065,112929,-,15446,1475,143,4,0,5589,10260840,-,-,-,8998,2013,417,40,-124,-2,987,2406657
2010,25246,-,-,-,17430,1826,182,1,1,6399,12207528,-,16105,114378,-,15272,1497,147,6,0,5685,9653498,-,-,-,9141,2158,329,35,-5,0,714,2554030
2011,28378,-,-,-,20948,2614,262,-34,-1,9171,15495348,-,17995,141067,-,18326,2246,206,14,1,7896,12572323,-,-,-,10383,2622,368,56,-48,-1,1275,2923025
2012,26728,-,-,-,20529,2110,223,-,-,7747,15637498,-,16770,139156,-,18117,1665,165,-,-,6240,12824322,-,-,-,9958,2412,445,57,-,-,1507,2813176
2013,25806,-,-,-,19186,2610,249,-,-,9025,15123266,-,16013,127568,-,16698,1970,190,-,-,6924,12047514,-,-,-,9793,2488,640,59,-,-,2101,3075752
2014,25326,-,-,-,18933,3238,275,-,-,9559,16107476,-,15518,126127,-,16570,2420,211,-,-,7506,12663727,-,-,-,9808,2363,818,64,-,-,2053,3443749
2015,25674,-,-,-,20034,2824,260,-,-,8821,16451926,-,15718,133218,-,17632,1762,170,-,-,6150,13041584,-,-,-,9956,2401,1062,90,-,-,2671,3410342
2016,27761,-,-,-,21737,4652,374,-,-,12786,19458574,-,17197,150482,-,19353,3068,252,-,-,8877,15856793,-,-,-,10564,2384,1584,123,-,-,3909,3601781
2017,26503,-,-,-,21561,3204,281,-,-,9650,19565619,-,16433,150891,-,19353,2103,184,-,-,6572,15909025,-,-,-,10070,2208,1101,97,-,-,3078,3656594
2018,26133,-,-,-,22090,3444,281,-,-,9497,21815480,-,16302,152844,-,20093,2410,209,-,-,7256,18171024,-,-,-,9831,1997,1034,72,-,-,2241,3644456
2019,25779,-,-,-,21778,2772,245,-,-,8662,21902136,-,16110,149688,-,19736,1814,170,-,-,6081,18102754,-,-,-,9669,2042,958,75,-,-,2581,3799382
2020,25012,-,-,-,22094,3564,297,-,-,10233,23124033,-,15951,163115,-,20414,2648,208,-,-,7418,19273532,-,-,-,9061,1680,916,89,-,-,2815,3850501
2021,26825,-,-,-,21599,4722,372,-,-,12923,22471943,-,17243,155629,-,19470,3257,254,-,-,9229,18670482,-,-,-,9582,2128,1465,118,-,-,3694,3801461
Fabrik- und Werkstattgebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,8255,-,-,-,8639,790,95,11,0,3809,5632635,-,5221,53258,-,7394,608,73,14,1,2967,4679047,-,-,-,3034,1245,182,22,-3,0,842,953588
2002,6481,-,-,-,6117,648,78,15,1,3078,4216028,-,3992,37239,-,5128,443,53,-,-,2152,3445334,-,-,-,2489,989,205,25,15,1,926,770694
2003,5900,-,-,-,5062,641,80,6,0,3160,3855767,-,3640,32654,-,4311,438,55,-,-,2201,3138495,-,-,-,2260,751,203,25,6,0,959,717272
2004,6227,-,-,-,5274,588,73,5,0,2951,3419891,-,3849,31682,-,4351,385,47,9,0,1970,2780758,-,-,-,2378,924,203,26,-4,0,981,639133
2005,6131,-,-,-,5015,603,70,-24,0,2699,3329629,-,3665,31589,-,4183,334,40,1,0,1591,2642541,-,-,-,2466,832,269,30,-25,0,1108,687088
2006,6783,-,-,-,6244,701,80,-22,0,3066,4280502,-,4072,38859,-,5052,417,50,-,-,1954,3372559,-,-,-,2711,1192,284,30,-22,0,1112,907943
2007,7559,-,-,-,7577,585,70,1,0,2527,5063230,-,4519,50743,-,6331,341,40,-,-,1558,4015800,-,-,-,3040,1246,244,30,1,0,969,1047430
2008,7917,-,-,-,8694,502,61,-1,0,2237,6215166,-,4655,60947,-,7230,318,38,-,-,1463,5021912,-,-,-,3262,1464,184,23,-1,0,774,1193254
2009,6218,-,-,-,5579,471,57,x,-,2110,4335362,-,3723,38085,-,4755,239,30,-,-,1146,3512599,-,-,-,2495,824,232,27,-,-,964,822763
2010,6197,-,-,-,5048,414,55,-,-,1948,3761615,-,3713,32257,-,4184,264,34,-,-,1266,3016856,-,-,-,2484,864,150,21,-,-,682,744759
2011,7360,-,-,-,6667,477,62,13,0,2190,5436770,-,4459,45909,-,5562,310,38,-,-,1408,4359340,-,-,-,2901,1105,167,24,13,0,782,1077430
2012,6575,-,-,-,6448,506,62,-,-,2185,5435503,-,3794,45651,-,5423,308,37,-,-,1337,4450067,-,-,-,2781,1024,198,25,-,-,848,985436
2013,6473,-,-,-,5677,528,61,-,-,2185,4903847,-,3754,38444,-,4794,343,40,-,-,1443,3875059,-,-,-,2719,882,185,21,-,-,742,1028788
2014,6311,-,-,-,5781,581,69,-,-,2351,5569880,-,3615,39158,-,4861,325,41,-,-,1480,4531034,-,-,-,2696,920,256,28,-,-,871,1038846
2015,6339,-,-,-,5389,633,69,-,-,2553,5029605,-,3521,36359,-,4547,310,37,-,-,1360,4003910,-,-,-,2818,842,323,32,-,-,1193,1025695
2016,6798,-,-,-,6446,724,80,-,-,2732,6314941,-,3826,42985,-,5292,373,45,-,-,1592,5177909,-,-,-,2972,1154,351,35,-,-,1140,1137032
2017,6383,-,-,-,6207,601,77,-,-,2496,6381674,-,3570,43584,-,5162,322,43,-,-,1377,5070013,-,-,-,2813,1045,279,34,-,-,1119,1311661
2018,6294,-,-,-,6091,583,68,-,-,2302,6877344,-,3521,42843,-,5264,331,40,-,-,1435,5625197,-,-,-,2773,827,252,28,-,-,867,1252147
2019,5798,-,-,-,6049,538,63,-,-,2287,7218876,-,3186,41580,-,5194,320,39,-,-,1385,5850271,-,-,-,2612,854,218,24,-,-,902,1368605
2020,5320,-,-,-,5544,729,78,-,-,2732,6909893,-,2989,42110,-,4937,364,42,-,-,1468,5783055,-,-,-,2331,607,365,35,-,-,1264,1126838
2021,5796,-,-,-,5237,748,86,-,-,2934,6776364,-,3222,38472,-,4623,376,47,-,-,1652,5683587,-,-,-,2574,614,372,39,-,-,1282,1092777
Handels- und Lagergebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,13148,-,-,-,11869,2069,204,70,2,8332,6946873,-,8779,76414,-,10505,1632,154,5,0,6542,5815753,-,-,-,4369,1364,437,51,65,1,1790,1131120
2002,11354,-,-,-,10015,1907,175,-24,-1,7139,6041593,-,7557,65009,-,8843,1631,146,1,0,6129,5064633,-,-,-,3797,1172,276,29,-25,-1,1010,976960
2003,10466,-,-,-,9485,1779,175,-23,-1,6986,6044948,-,6965,62361,-,8458,1448,132,3,0,5407,4917141,-,-,-,3501,1028,331,44,-26,-1,1579,1127807
2004,10963,-,-,-,9278,1471,149,8,0,6070,5514192,-,7223,62509,-,8237,1237,118,-,-,4951,4587515,-,-,-,3740,1041,234,31,8,0,1119,926677
2005,11213,-,-,-,9884,1627,152,20,0,6050,5398505,-,7219,64174,-,8269,1225,106,-,-,4428,4444058,-,-,-,3994,1615,402,46,20,0,1622,954447
2006,12020,-,-,-,11423,1993,188,-6,0,7355,6985824,-,7734,80373,-,10122,1406,131,-,-,5324,5868266,-,-,-,4286,1301,587,57,-6,0,2031,1117558
2007,12331,-,-,-,12055,1865,155,-5,0,6088,7114142,-,8233,85574,-,10662,1505,123,-,-,4907,5901407,-,-,-,4098,1393,360,33,-5,0,1181,1212735
2008,12574,-,-,-,13241,1547,144,-41,-1,5303,7722339,-,8269,93943,-,11470,1091,110,2,0,4247,6440316,-,-,-,4305,1771,456,35,-43,-1,1056,1282023
